,fpos1,fpos2,fvel1,fvel2,facc1,facc2,spos1,spos2,svel1,svel2,sacc1,sacc2
2413,0.19788342397125502,0.16859508326044917,0.26249099052831554,0.21073912457472838,0.18474665494204592,0.09707849382813061,0.16378539656241783,0.26144821805370866,0.11620064351813145,0.49215428750319984,-0.12963252129562894,0.4876032369389876
2414,0.19792499996339566,0.16277632592427052,0.2622009827917614,0.19788390674803352,0.18422876219036535,0.08294929249335707,0.1639015322210735,0.2619406161336638,0.11607067379344393,0.4926418724066546,-0.12996972468751503,0.48758490345465383
2415,0.1985651480714101,0.16038176308867547,0.26319691421363756,0.19239771041441103,0.18511419136356538,0.07687430438247536,0.16401753774140904,0.26243350178892,0.11594036687743914,0.49312943810606613,-0.13030691600483868,0.48756569941158745
2416,0.20144045524283166,0.1528050163693515,0.2689932496993971,0.17578457364387648,0.19123487977870043,0.05866893480691711,0.16413341278623894,0.2629268749998386,0.11580972278220522,0.4936169837313118,-0.13064409523403223,0.487545625245862
2417,0.1872998974481942,0.15409934530832345,0.23822854028120352,0.17824612516175278,0.15746939812755184,0.06128990113853727,0.1642491570183899,0.2634207357459107,0.11567874151983859,0.4941045084128163,-0.13098126236679586,0.4875246815047516
2418,0.189779110304498,0.1576890753191829,0.2432002046283297,0.18563632757809415,0.1627203566094298,0.06928372268966715,0.16436477010070108,0.2639150840057578,0.1155474231024052,0.4945920112816835,-0.13131841743349376,0.48750286886768107
2419,0.19783506072187557,0.1532724150512987,0.26014744271083723,0.17581809249114003,0.1810270454057736,0.0584995147206259,0.16448025169602334,0.2644099197571337,0.11541576754207589,0.495079491469787,-0.1316555603291316,0.4874801881030574
2420,0.19233795501103362,0.15494441148315405,0.2479592904163659,0.17909094526991393,0.16753655181938476,0.062005261617940254,0.16459560146722005,0.26490524297692336,0.11528377485126753,0.49556694810972385,-0.13199269080840792,0.4874566399369339
2421,0.19194593333585044,0.15749321523086557,0.2467516713114222,0.18424412515696031,0.1660367812177719,0.06755779233934815,0.1647108190771669,0.26540105364114575,0.1151514450425207,0.49605438033484406,-0.13232980874687114,0.48743222512019735
2422,0.18806512702310327,0.15945573163538673,0.23804943511238105,0.18813224400022432,0.15636518727413687,0.07172443393954074,0.16482590418875243,0.2658973517249527,0.11501877812847337,0.4965417872792952,-0.13266691404723233,0.48740694445121946
2423,0.18665278386449533,0.15464747869937467,0.2346596748519065,0.1774688884437832,0.15249796509625715,0.060017307377938325,0.16494085646487763,0.2663941372026314,0.1148857741219333,0.49702916807798947,-0.1330040065399258,0.48738079869393125
2424,0.1808606482269524,0.16528691407288013,0.22186284396011108,0.20000740965376562,0.1383765467996485,0.08453041997231744,0.1650556755684565,0.2668914100476038,0.1147524330359312,0.4975165218665639,-0.1333410860019989,0.48735378857433653
2425,0.18183884403216366,0.16264544852436663,0.2236261616515077,0.19398653721768971,0.14014851010448492,0.07787260971369156,0.16517036116241626,0.26738917023242803,0.11461875488378626,0.498003847781431,-0.13367815214498924,0.48732591486708476
2426,0.17658803515604093,0.165143869170732,0.21200330830867004,0.19901583541443943,0.12732162255717672,0.08327185898677486,0.16528491290969782,0.2678874177287985,0.114484739679194,0.49849114495972435,-0.13401520459228738,0.48729717829340946
2427,0.17047591566712014,0.17236386996976083,0.1985416494737419,0.2141852313632241,0.11250408516656965,0.09972189425463665,0.1653993304732556,0.26838615250754794,0.11435038743628707,0.4989784125392196,-0.13435224290710476,0.48726757949550326
2428,0.17834332089250188,0.17785828481864227,0.21513269961363035,0.22563087467932638,0.13047185130346423,0.11209318368990362,0.1655136135160586,0.2688853745386468,0.11421569816968842,0.4994656496583515,-0.13468926659873337,0.4872371191322365
2429,0.17409692017414297,0.17813152735067234,0.20567600282111528,0.22584515627028304,0.1200185948715103,0.11220460361639267,0.16562776170109075,0.26938508379120396,0.1140806718946495,0.49995285545611456,-0.13502627503894915,0.4872057977630797
2430,0.17367184896384705,0.1755912494185791,0.2044405034635072,0.22001322228529832,0.11854066932800413,0.10572369036978882,0.16574177469135165,0.2698852802334679,0.11394530862703324,0.5004400290719273,-0.13536326761618495,0.48717361581263896
2431,0.1828190639000644,0.1771061520224014,0.22377609378995508,0.2229014272741152,0.13949240667174698,0.10875734113143634,0.1658556521498568,0.2703859638328266,0.11380960838327574,0.5009271696455795,-0.1357002437575411,0.4871405736521731
